F1717 Note: Use distance between fixtures as endpoint, NOT distance between test blocks (rotation of the test blocks causes the test to run past the distance between test blocks)

F2077 Note: use distance between test blocks as endpoint
"Time","Sequence","Block","Cycle","Position mm","Load N","Exp_PreLoad Volts"
1.524,1,1,,-22.35955,-2648.9213,-4.8750675
1.528,1,1,,-22.358466,-2656.7951,-4.8740911
1.532,1,1,,-22.36,-2667.6685,-4.8738623
1.536,1,1,,-22.361127,-2679.5492,-4.8729974
1.54,1,1,,-22.361255,-2692.8946,-4.8750871
1.544,1,1,,-22.362724,-2706.6365,-4.8742115
1.548,1,1,,-22.363207,-2721.031,-4.8742461
1.552,1,1,,-22.364939,-2739.425,-4.8740071
1.556,1,1,,-22.366339,-2757.521,-4.8760164
1.56,1,1,,-22.36642,-2773.8899,-4.8750001
1.564,1,1,,-22.368524,-2789.0801,-4.8741019
1.568,1,1,,-22.368259,-2805.6741,-4.8748863
1.572,1,1,,-22.36957,-2820.2325,-4.8742813
1.576,1,1,,-22.371283,-2834.2694,-4.874078
1.58,1,1,,-22.372297,-2849.3017,-4.8746794
1.584,1,1,,-22.372848,-2862.1256,-4.8733753
1.588,1,1,,-22.373408,-2875.416,-4.873932
1.592,1,1,,-22.37286,-2886.5054,-4.8755366
1.596,1,1,,-22.374648,-2897.9987,-4.8757309
1.6,1,1,,-22.375235,-2907.1331,-4.8736185
1.604,1,1,,-22.376541,-2916.4463,-4.8764247
1.608,1,1,,-22.377089,-2924.4706,-4.873988
1.612,1,1,,-22.377232,-2931.0778,-4.8753339
1.616,1,1,,-22.378251,-2936.7432,-4.8744059
1.62,1,1,,-22.377867,-2941.6814,-4.8737752
1.624,1,1,,-22.379214,-2948.4689,-4.8749757
1.628,1,1,,-22.378499,-2956.7778,-4.8744786
1.632,1,1,,-22.378898,-2966.2982,-4.8737085
1.636,1,1,,-22.380224,-2976.5606,-4.8735332
1.64,1,1,,-22.38124,-2991.9416,-4.8742181
1.644,1,1,,-22.382686,-3007.5982,-4.8746288
1.648,1,1,,-22.383455,-3025.0907,-4.874267
1.652,1,1,,-22.383815,-3045.7377,-4.8740387
1.656,1,1,,-22.384867,-3064.1064,-4.8745686
1.66,1,1,,-22.386393,-3081.8984,-4.8739231
1.664,1,1,,-22.386855,-3100.1791,-4.8748404
1.668,1,1,,-22.3876,-3118.5731,-4.8730075
1.672,1,1,,-22.390366,-3138.7895,-4.8746836
1.676,1,1,,-22.390724,-3156.4742,-4.8739713
1.68,1,1,,-22.391343,-3172.6256,-4.8731303
1.684,1,1,,-22.393179,-3189.2061,-4.874016
1.688,1,1,,-22.393379,-3205.061,-4.8750043
1.692,1,1,,-22.395021,-3220.8815,-4.8752624
1.696,1,1,,-22.394803,-3233.1973,-4.8745573
1.7,1,1,,-22.39545,-3243.9321,-4.8743832
1.704,1,1,,-22.395334,-3251.0862,-4.8737776
1.708,1,1,,-22.396475,-3257.6516,-4.8755932
1.712,1,1,,-22.396565,-3263.1025,-4.8743004
1.716,1,1,,-22.398371,-3267.7442,-4.8743546
1.72,1,1,,-22.398427,-3272.7525,-4.8741442
1.724,1,1,,-22.398764,-3277.8665,-4.8745042
1.728,1,1,,-22.398302,-3285.417,-4.8749572
1.732,1,1,,-22.399584,-3295.4812,-4.8737943
1.736,1,1,,-22.400508,-3310.9829,-4.8740363
1.74,1,1,,-22.400004,-3324.5713,-4.8738545
1.744,1,1,,-22.402498,-3341.5422,-4.8727417
1.748,1,1,,-22.403166,-3360.7274,-4.8737139
1.752,1,1,,-22.403446,-3381.3,-4.874509
1.756,1,1,,-22.405073,-3401.2392,-4.8753554
1.76,1,1,,-22.405964,-3422.4823,-4.8737144
1.764,1,1,,-22.407571,-3441.4545,-4.8747611
1.768,1,1,,-22.40775,-3460.2195,-4.8757643
1.772,1,1,,-22.41008,-3478.7357,-4.8745626
1.776,1,1,,-22.409752,-3495.6664,-4.8739034
1.78,1,1,,-22.411588,-3512.5807,-4.8743415
1.784,1,1,,-22.411993,-3527.3731,-4.8752594
1.788,1,1,,-22.412706,-3540.9793,-4.8757666
1.792,1,1,,-22.413332,-3555.6808,-4.8749119
1.796,1,1,,-22.415054,-3567.5719,-4.873451
1.8,1,1,,-22.415647,-3576.6214,-4.8745579
1.804,1,1,,-22.41551,-3585.8035,-4.8744804
1.808,1,1,,-22.415924,-3592.5835,-4.8750681
1.812,1,1,,-22.416473,-3597.5575,-4.8748231
1.816,1,1,,-22.417057,-3602.1188,-4.8750055
1.82,1,1,,-22.417909,-3605.5014,-4.8748046
1.824,1,1,,-22.418017,-3611.5393,-4.8740941
1.828,1,1,,-22.418064,-3620.2148,-4.8748505
1.832,1,1,,-22.418788,-3637.1931,-4.8751849
1.836,1,1,,-22.419805,-3657.6092,-4.8742235
1.84,1,1,,-22.420198,-3678.0596,-4.8748171
1.844,1,1,,-22.422296,-3698.3714,-4.8752177
1.848,1,1,,-22.423372,-3719.1853,-4.8751616
1.852,1,1,,-22.424519,-3742.1539,-4.8741871
1.856,1,1,,-22.426266,-3766.3847,-4.8743796
1.86,1,1,,-22.426582,-3789.2252,-4.8749387
1.864,1,1,,-22.428984,-3811.0942,-4.8758441
1.868,1,1,,-22.429416,-3829.962,-4.8747629
